OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
249910,5,5,15,0,2019,10,16,7,3,1,7,0,1,1,0,0,0,0,0,"403816,323902715000000","5754367,614325098700000","7,601032351000072","51,931712104000042"
249911,5,5,15,0,2019,10,0,7,3,6,6,2,1,0,1,0,0,0,1,"406358,785648089830000","5756962,676705423700000","7,637293600000021","51,955471396000064"
249915,5,5,15,0,2019,10,11,2,3,5,3,0,1,0,0,0,0,0,0,"405657,454624214210000","5755114,684842484100000","7,627597868000066","51,938742261000073"
250043,5,5,15,0,2019,10,21,5,3,1,7,2,1,1,0,0,0,0,0,"404255,312943981960000","5748982,779522137700000","7,608911677000037","51,883386502000064"
250083,5,5,15,0,2019,10,15,4,3,5,2,0,1,0,0,0,0,0,1,"405699,282058048990000","5757616,283359833100000","7,627519772000028","51,961234856000033"
250155,5,5,15,0,2019,10,15,5,3,5,2,0,1,1,0,0,0,0,0,"407171,914963285440000","5757929,435931155500000","7,648861768000074","51,964297457000043"
250283,5,5,15,0,2019,10,7,3,3,5,3,1,1,1,0,0,0,0,1,"411318,179999998770000","5760959,980000002300000","7,708411588000047","51,992215022000039"
250369,5,5,15,0,2019,10,9,3,2,5,3,0,1,1,0,0,0,0,0,"408665,026000000540000","5755637,187000002700000","7,671197339000059","51,943940648000080"
250371,5,5,15,0,2019,10,16,3,3,5,3,0,1,1,0,0,0,0,0,"406679,315438378600000","5754912,294806171200000","7,642513271000041","51,937095391000071"
250372,5,5,15,0,2019,10,17,3,3,5,2,0,1,1,0,0,0,0,1,"403899,479496651330000","5761557,563833326100000","7,600229420000062","51,996352121000029"
250442,5,5,15,0,2019,10,16,2,3,5,3,0,1,1,0,0,0,0,0,"401890,595999999900000","5759504,846000000800000","7,571565591000024","51,977550624000060"
250538,5,5,15,0,2019,10,14,7,3,3,2,0,1,0,0,0,0,1,0,"405435,483812553810000","5758991,283741725600000","7,623302869000042","51,973549120000030"
250539,5,5,15,0,2019,10,14,7,3,0,1,0,1,0,0,0,0,0,0,"405816,836681305430000","5757862,287090187900000","7,629162705000056","51,963465972000051"
250663,5,5,15,0,2019,10,16,6,3,5,2,0,1,1,0,0,0,0,0,"404584,779792467130000","5760140,062782058500000","7,610602546000052","51,983729337000057"
250736,5,5,15,0,2019,10,8,5,3,1,5,0,1,1,0,0,0,0,1,"403115,172373957930000","5757654,491397799900000","7,589911252000036","51,961133987000039"
250737,5,5,15,0,2019,10,18,5,3,0,7,2,1,1,0,0,0,0,1,"399280,688587646930000","5756773,120581910000000","7,534380852000027","51,952530757000034"
250792,5,5,15,0,2019,10,15,4,3,0,1,0,1,0,0,0,0,0,1,"404934,470000000670000","5757591,280000003100000","7,616398887000059","51,960879870000042"
250890,5,5,15,0,2019,10,17,5,2,5,3,0,1,1,0,0,0,0,0,"410233,660424686970000","5751958,421147938800000","7,694972007000047","51,911128524000048"
251007,5,5,15,0,2019,10,6,3,2,4,7,2,1,0,0,1,0,0,0,"406449,703967734240000","5761182,982562100500000","7,637465916000053","51,993420728000046"
251055,5,5,15,0,2019,10,9,2,3,0,7,0,1,1,0,0,0,0,1,"407077,532923713330000","5758686,879546651600000","7,647283429000026","51,971089972000073"
251203,5,5,15,0,2019,10,8,2,3,5,2,0,1,0,0,0,0,0,1,"402418,686801913190000","5757833,440547490500000","7,579726920000041","51,962620624000067"
251205,5,5,15,0,2019,10,13,2,3,5,2,0,1,1,0,0,0,0,0,"406042,139254949990000","5756997,434562666300000","7,632677539000042","51,955730405000054"
251206,5,5,15,0,2019,10,15,2,2,0,2,1,1,0,0,0,0,0,1,"405078,488266986790000","5757450,976379558400000","7,618533069000023","51,959643370000038"
